Index,time,vl,vr,hl,hr
0,0.0,0.0,0.0,0.0,0.0
1,10.0,475.0,564.0,551.0,609.0
2,20.0,400.0,479.0,468.0,385.0
3,30.0,327.0,421.0,415.0,341.0
4,40.0,430.0,464.0,435.0,153.0
5,50.0,375.0,427.0,404.0,322.0
6,60.0,387.0,448.0,427.0,362.0
7,70.0,323.0,412.0,400.0,326.0
8,80.0,439.0,466.0,433.0,180.0
9,90.0,377.0,430.0,401.0,323.0
10,100.0,388.0,448.0,428.0,361.0
11,110.0,324.0,406.0,397.0,326.0
12,120.0,385.0,448.0,423.0,355.0
13,130.0,368.0,422.0,400.0,336.0
14,140.0,387.0,445.0,427.0,365.0
15,150.0,368.0,417.0,400.0,384.0
16,160.0,387.0,447.0,427.0,359.0
17,170.0,369.0,422.0,400.0,336.0
18,180.0,341.0,439.0,429.0,367.0
19,190.0,401.0,435.0,410.0,129.0
20,200.0,393.0,449.0,430.0,343.0
21,210.0,370.0,422.0,400.0,336.0
22,220.0,339.0,434.0,425.0,362.0
23,230.0,417.0,439.0,405.0,167.0
24,240.0,394.0,450.0,430.0,351.0
25,250.0,368.0,420.0,397.0,336.0
26,260.0,341.0,435.0,419.0,361.0
27,270.0,368.0,419.0,397.0,327.0
28,280.0,388.0,448.0,422.0,363.0
29,290.0,369.0,418.0,397.0,336.0
30,300.0,384.0,439.0,420.0,403.0
31,310.0,368.0,416.0,397.0,332.0
32,320.0,385.0,441.0,419.0,362.0
33,330.0,325.0,405.0,395.0,336.0
34,340.0,423.0,456.0,430.0,144.0
35,350.0,373.0,419.0,400.0,314.0
36,360.0,387.0,443.0,422.0,361.0
37,370.0,320.0,403.0,398.0,336.0
38,380.0,438.0,461.0,432.0,179.0
39,390.0,372.0,421.0,400.0,321.0
40,400.0,386.0,442.0,423.0,362.0
41,410.0,320.0,399.0,396.0,333.0
42,420.0,384.0,445.0,421.0,355.0
43,430.0,368.0,417.0,396.0,333.0
44,440.0,385.0,440.0,422.0,362.0
45,450.0,367.0,412.0,393.0,381.0
46,460.0,384.0,441.0,421.0,366.0
47,470.0,367.0,414.0,397.0,336.0
48,480.0,340.0,432.0,422.0,363.0
49,490.0,400.0,432.0,403.0,127.0
50,500.0,390.0,444.0,429.0,347.0
51,510.0,368.0,415.0,400.0,333.0
52,520.0,337.0,432.0,425.0,358.0
53,530.0,415.0,434.0,406.0,164.0
54,540.0,394.0,447.0,429.0,350.0
55,550.0,368.0,419.0,399.0,336.0
56,560.0,337.0,432.0,423.0,359.0
57,570.0,367.0,421.0,397.0,323.0
58,580.0,388.0,443.0,429.0,362.0
59,590.0,368.0,417.0,400.0,335.0
60,600.0,387.0,443.0,425.0,401.0
61,610.0,368.0,417.0,398.0,336.0
62,620.0,387.0,442.0,426.0,364.0
63,630.0,323.0,406.0,399.0,336.0
64,640.0,417.0,455.0,432.0,127.0
65,650.0,371.0,420.0,400.0,320.0
66,660.0,387.0,444.0,429.0,363.0
67,670.0,321.0,403.0,400.0,335.0
68,680.0,439.0,464.0,434.0,179.0
69,690.0,373.0,422.0,402.0,322.0
70,700.0,388.0,444.0,427.0,359.0
71,710.0,320.0,402.0,397.0,331.0
72,720.0,386.0,448.0,425.0,362.0
73,730.0,368.0,417.0,397.0,334.0
74,740.0,387.0,443.0,423.0,356.0
75,750.0,368.0,414.0,395.0,393.0
76,760.0,388.0,444.0,427.0,367.0
77,770.0,368.0,421.0,399.0,336.0
78,780.0,344.0,436.0,428.0,363.0
79,790.0,402.0,434.0,403.0,132.0
80,800.0,391.0,448.0,432.0,351.0
81,810.0,369.0,416.0,397.0,335.0
82,820.0,340.0,434.0,426.0,363.0
83,830.0,417.0,433.0,405.0,165.0
84,840.0,395.0,449.0,431.0,351.0
85,850.0,368.0,416.0,398.0,334.0
86,860.0,391.0,442.0,422.0,361.0
87,870.0,369.0,416.0,396.0,332.0
88,880.0,387.0,445.0,423.0,365.0
89,890.0,368.0,416.0,395.0,327.0
90,900.0,385.0,444.0,426.0,416.0
91,910.0,368.0,417.0,398.0,336.0
92,920.0,387.0,447.0,429.0,361.0
93,930.0,323.0,403.0,397.0,335.0
94,940.0,430.0,462.0,435.0,149.0
95,950.0,371.0,420.0,401.0,320.0
96,960.0,390.0,445.0,428.0,362.0
97,970.0,322.0,406.0,399.0,333.0
98,980.0,442.0,464.0,434.0,181.0
99,990.0,374.0,422.0,400.0,321.0
100,1000.0,390.0,446.0,428.0,363.0
101,1010.0,373.0,416.0,394.0,331.0
102,1020.0,388.0,444.0,425.0,363.0
103,1030.0,370.0,415.0,395.0,333.0
104,1040.0,390.0,443.0,423.0,358.0
105,1050.0,368.0,413.0,394.0,395.0
106,1060.0,389.0,443.0,425.0,368.0
107,1070.0,368.0,416.0,394.0,333.0
108,1080.0,342.0,432.0,423.0,364.0
109,1090.0,401.0,431.0,401.0,129.0
110,1100.0,395.0,448.0,431.0,350.0
111,1110.0,368.0,415.0,400.0,333.0
112,1120.0,340.0,438.0,427.0,361.0
113,1130.0,415.0,435.0,406.0,163.0
114,1140.0,397.0,449.0,432.0,351.0
115,1150.0,369.0,417.0,400.0,330.0
116,1160.0,393.0,445.0,426.0,359.0
117,1170.0,369.0,414.0,396.0,333.0
118,1180.0,391.0,442.0,428.0,362.0
119,1190.0,368.0,415.0,397.0,327.0
120,1200.0,388.0,441.0,426.0,413.0
121,1210.0,368.0,416.0,398.0,336.0
122,1220.0,390.0,445.0,431.0,366.0
123,1230.0,323.0,403.0,395.0,331.0
124,1240.0,418.0,457.0,434.0,126.0
125,1250.0,373.0,420.0,400.0,319.0
126,1260.0,390.0,444.0,430.0,362.0
127,1270.0,321.0,403.0,398.0,332.0
128,1280.0,441.0,464.0,435.0,178.0
129,1290.0,377.0,419.0,401.0,320.0
130,1300.0,388.0,446.0,430.0,360.0
131,1310.0,371.0,414.0,393.0,327.0
132,1320.0,390.0,443.0,426.0,359.0
133,1330.0,369.0,414.0,397.0,332.0
134,1340.0,390.0,444.0,426.0,354.0
135,1350.0,367.0,412.0,394.0,389.0
136,1360.0,391.0,443.0,428.0,367.0
137,1370.0,368.0,415.0,397.0,331.0
138,1380.0,341.0,433.0,426.0,361.0
139,1390.0,401.0,433.0,400.0,129.0
140,1400.0,391.0,451.0,432.0,350.0
141,1410.0,368.0,416.0,398.0,333.0
142,1420.0,341.0,436.0,427.0,361.0
143,1430.0,417.0,433.0,402.0,163.0
144,1440.0,397.0,450.0,431.0,354.0
145,1450.0,368.0,416.0,397.0,336.0
146,1460.0,394.0,445.0,422.0,359.0
147,1470.0,368.0,414.0,394.0,329.0
148,1480.0,390.0,445.0,425.0,361.0
149,1490.0,368.0,415.0,394.0,331.0
150,1500.0,387.0,441.0,422.0,413.0
151,1510.0,368.0,413.0,393.0,335.0
152,1520.0,388.0,443.0,425.0,365.0
153,1530.0,322.0,402.0,394.0,334.0
154,1540.0,432.0,461.0,432.0,150.0
155,1550.0,375.0,419.0,398.0,317.0
156,1560.0,389.0,446.0,425.0,361.0
157,1570.0,320.0,405.0,394.0,331.0
158,1580.0,442.0,464.0,433.0,179.0
159,1590.0,373.0,422.0,400.0,320.0
160,1600.0,391.0,445.0,427.0,363.0
161,1610.0,371.0,414.0,391.0,330.0
162,1620.0,390.0,443.0,425.0,362.0
163,1630.0,368.0,414.0,394.0,333.0
164,1640.0,389.0,447.0,429.0,361.0
165,1650.0,365.0,411.0,391.0,387.0
166,1660.0,387.0,443.0,423.0,367.0
167,1670.0,368.0,413.0,395.0,334.0
168,1680.0,342.0,433.0,427.0,361.0
169,1690.0,401.0,430.0,402.0,130.0
170,1700.0,393.0,448.0,432.0,349.0
171,1710.0,368.0,415.0,398.0,332.0
172,1720.0,340.0,436.0,426.0,365.0
173,1730.0,416.0,433.0,404.0,161.0
174,1740.0,397.0,448.0,432.0,353.0
175,1750.0,368.0,414.0,398.0,329.0
176,1760.0,394.0,445.0,427.0,360.0
177,1770.0,369.0,414.0,395.0,332.0
178,1780.0,388.0,443.0,425.0,363.0
179,1790.0,368.0,414.0,393.0,330.0
180,1800.0,387.0,442.0,423.0,413.0
181,1810.0,368.0,415.0,390.0,335.0
182,1820.0,391.0,445.0,421.0,363.0
183,1830.0,322.0,403.0,391.0,331.0
184,1840.0,418.0,458.0,431.0,125.0
185,1850.0,368.0,414.0,397.0,316.0
186,1860.0,385.0,443.0,425.0,359.0
187,1870.0,320.0,401.0,391.0,327.0
188,1880.0,439.0,464.0,433.0,178.0
189,1890.0,372.0,418.0,397.0,319.0
190,1900.0,389.0,445.0,425.0,359.0
191,1910.0,369.0,407.0,390.0,325.0
192,1920.0,390.0,441.0,422.0,357.0
193,1930.0,368.0,412.0,391.0,327.0
194,1940.0,389.0,443.0,424.0,360.0
195,1950.0,367.0,410.0,390.0,387.0
196,1960.0,386.0,442.0,423.0,367.0
197,1970.0,368.0,411.0,392.0,328.0
198,1980.0,342.0,432.0,423.0,361.0
199,1990.0,400.0,427.0,400.0,130.0
200,2000.0,394.0,446.0,429.0,347.0
201,2010.0,368.0,411.0,394.0,327.0
202,2020.0,337.0,431.0,421.0,360.0
203,2030.0,414.0,431.0,401.0,160.0
204,2040.0,395.0,448.0,431.0,351.0
205,2050.0,368.0,411.0,393.0,330.0
206,2060.0,390.0,443.0,422.0,358.0
207,2070.0,368.0,414.0,392.0,329.0
208,2080.0,390.0,445.0,427.0,362.0
209,2090.0,368.0,415.0,395.0,329.0
210,2100.0,389.0,444.0,426.0,414.0
211,2110.0,368.0,412.0,387.0,334.0
212,2120.0,390.0,446.0,425.0,363.0
213,2130.0,321.0,402.0,389.0,330.0
214,2140.0,430.0,464.0,432.0,145.0
215,2150.0,374.0,421.0,397.0,318.0
216,2160.0,389.0,448.0,427.0,363.0
217,2170.0,320.0,405.0,389.0,331.0
218,2180.0,441.0,467.0,434.0,177.0
219,2190.0,373.0,422.0,400.0,320.0
220,2200.0,390.0,448.0,430.0,363.0
221,2210.0,370.0,416.0,395.0,327.0
222,2220.0,390.0,448.0,431.0,365.0
223,2230.0,368.0,416.0,398.0,331.0
224,2240.0,389.0,448.0,431.0,363.0
225,2250.0,368.0,415.0,394.0,387.0
226,2260.0,388.0,445.0,429.0,368.0
227,2270.0,368.0,415.0,395.0,329.0
228,2280.0,343.0,432.0,430.0,362.0
229,2290.0,395.0,427.0,401.0,114.0
230,2300.0,393.0,448.0,432.0,349.0
231,2310.0,368.0,412.0,397.0,330.0
232,2320.0,342.0,435.0,428.0,364.0
233,2330.0,415.0,432.0,404.0,161.0
234,2340.0,398.0,449.0,433.0,352.0
235,2350.0,368.0,414.0,397.0,331.0
236,2360.0,394.0,447.0,430.0,362.0
237,2370.0,368.0,416.0,394.0,330.0
238,2380.0,389.0,448.0,430.0,363.0
239,2390.0,368.0,415.0,395.0,329.0
240,2400.0,387.0,446.0,429.0,412.0
241,2410.0,367.0,414.0,395.0,334.0
242,2420.0,390.0,448.0,429.0,364.0
243,2430.0,322.0,403.0,395.0,334.0
244,2440.0,420.0,464.0,435.0,131.0
245,2450.0,369.0,422.0,400.0,317.0
246,2460.0,390.0,449.0,432.0,364.0
247,2470.0,321.0,405.0,395.0,327.0
248,2480.0,446.0,468.0,439.0,189.0
249,2490.0,375.0,422.0,400.0,320.0
250,2500.0,390.0,449.0,432.0,364.0
251,2510.0,369.0,412.0,395.0,329.0
252,2520.0,390.0,444.0,427.0,363.0
253,2530.0,368.0,413.0,394.0,329.0
254,2540.0,389.0,448.0,429.0,363.0
255,2550.0,367.0,411.0,395.0,387.0
256,2560.0,390.0,446.0,430.0,368.0
257,2570.0,368.0,411.0,395.0,331.0
258,2580.0,345.0,433.0,430.0,363.0
259,2590.0,400.0,432.0,401.0,129.0
260,2600.0,396.0,450.0,432.0,351.0
261,2610.0,366.0,412.0,396.0,330.0
262,2620.0,342.0,435.0,426.0,363.0
263,2630.0,417.0,432.0,401.0,171.0
264,2640.0,399.0,450.0,433.0,354.0
265,2650.0,368.0,416.0,397.0,329.0
266,2660.0,395.0,445.0,430.0,361.0
267,2670.0,368.0,411.0,397.0,331.0
268,2680.0,390.0,446.0,429.0,364.0
269,2690.0,368.0,412.0,394.0,330.0
270,2700.0,387.0,446.0,425.0,413.0
271,2710.0,368.0,412.0,391.0,336.0
272,2720.0,389.0,446.0,429.0,364.0
273,2730.0,320.0,400.0,391.0,332.0
274,2740.0,431.0,463.0,434.0,147.0
275,2750.0,373.0,419.0,400.0,318.0
276,2760.0,393.0,448.0,432.0,362.0
277,2770.0,320.0,402.0,395.0,330.0
278,2780.0,443.0,465.0,439.0,185.0
279,2790.0,377.0,419.0,400.0,320.0
280,2800.0,391.0,448.0,432.0,365.0
281,2810.0,370.0,417.0,394.0,328.0
282,2820.0,387.0,448.0,427.0,363.0
283,2830.0,368.0,415.0,394.0,327.0
284,2840.0,390.0,446.0,429.0,363.0
285,2850.0,367.0,412.0,393.0,386.0
286,2860.0,390.0,446.0,429.0,368.0
287,2870.0,367.0,409.0,393.0,329.0
288,2880.0,341.0,432.0,426.0,361.0
289,2890.0,399.0,428.0,400.0,128.0
290,2900.0,393.0,448.0,432.0,350.0
291,2910.0,366.0,413.0,395.0,329.0
292,2920.0,347.0,435.0,428.0,363.0
293,2930.0,415.0,434.0,404.0,168.0
294,2940.0,395.0,451.0,432.0,351.0
295,2950.0,367.0,414.0,397.0,326.0
296,2960.0,391.0,443.0,428.0,358.0
297,2970.0,367.0,410.0,390.0,327.0
298,2980.0,387.0,445.0,423.0,359.0
299,2990.0,365.0,411.0,391.0,327.0
300,3000.0,385.0,443.0,426.0,410.0
301,3010.0,367.0,413.0,389.0,333.0
302,3020.0,385.0,446.0,425.0,363.0
303,3030.0,320.0,400.0,390.0,328.0
304,3040.0,422.0,463.0,433.0,132.0
305,3050.0,371.0,418.0,397.0,314.0
306,3060.0,390.0,448.0,430.0,363.0
307,3070.0,322.0,404.0,388.0,330.0
308,3080.0,446.0,471.0,435.0,186.0
309,3090.0,374.0,425.0,399.0,318.0
310,3100.0,390.0,452.0,431.0,362.0
311,3110.0,368.0,413.0,389.0,325.0
312,3120.0,387.0,447.0,427.0,361.0
313,3130.0,367.0,411.0,390.0,326.0
314,3140.0,386.0,447.0,427.0,358.0
315,3150.0,365.0,407.0,387.0,381.0
316,3160.0,386.0,443.0,423.0,366.0
317,3170.0,368.0,414.0,391.0,329.0
318,3180.0,339.0,439.0,430.0,359.0
319,3190.0,399.0,430.0,401.0,129.0
320,3200.0,393.0,451.0,432.0,351.0
321,3210.0,367.0,412.0,394.0,326.0
322,3220.0,346.0,435.0,427.0,361.0
323,3230.0,416.0,432.0,401.0,171.0
324,3240.0,396.0,449.0,432.0,351.0
325,3250.0,368.0,414.0,394.0,327.0
326,3260.0,388.0,446.0,426.0,359.0
327,3270.0,365.0,413.0,394.0,331.0
328,3280.0,386.0,447.0,429.0,362.0
329,3290.0,367.0,412.0,390.0,331.0
330,3300.0,385.0,443.0,423.0,407.0
331,3310.0,366.0,412.0,389.0,330.0
332,3320.0,387.0,446.0,427.0,359.0
333,3330.0,320.0,400.0,391.0,325.0
334,3340.0,429.0,463.0,435.0,146.0
335,3350.0,370.0,416.0,399.0,315.0
336,3360.0,389.0,447.0,432.0,360.0
337,3370.0,326.0,401.0,391.0,325.0
338,3380.0,444.0,465.0,437.0,187.0
339,3390.0,371.0,418.0,399.0,318.0
340,3400.0,389.0,448.0,432.0,359.0
341,3410.0,367.0,410.0,391.0,325.0
342,3420.0,389.0,444.0,429.0,359.0
343,3430.0,367.0,413.0,393.0,327.0
344,3440.0,389.0,447.0,428.0,362.0
345,3450.0,365.0,410.0,390.0,382.0
346,3460.0,387.0,446.0,428.0,365.0
347,3470.0,366.0,411.0,392.0,327.0
348,3480.0,341.0,435.0,427.0,363.0
349,3490.0,399.0,429.0,400.0,127.0
350,3500.0,393.0,448.0,432.0,350.0
351,3510.0,366.0,414.0,394.0,327.0
352,3520.0,338.0,435.0,429.0,361.0
353,3530.0,412.0,432.0,401.0,163.0
354,3540.0,396.0,449.0,432.0,353.0
355,3550.0,367.0,413.0,394.0,325.0
356,3560.0,389.0,448.0,427.0,357.0
357,3570.0,367.0,411.0,391.0,327.0
358,3580.0,385.0,446.0,426.0,358.0
359,3590.0,365.0,409.0,388.0,325.0
360,3600.0,385.0,444.0,425.0,407.0
361,3610.0,366.0,410.0,390.0,331.0
362,3620.0,387.0,446.0,431.0,362.0
363,3630.0,319.0,400.0,391.0,326.0
364,3640.0,417.0,461.0,434.0,128.0
365,3650.0,370.0,417.0,400.0,315.0
366,3660.0,389.0,448.0,432.0,362.0
367,3670.0,321.0,403.0,395.0,327.0
368,3680.0,446.0,467.0,442.0,189.0
369,3690.0,373.0,420.0,400.0,319.0
370,3700.0,389.0,449.0,432.0,361.0
371,3710.0,368.0,411.0,390.0,325.0
372,3720.0,390.0,448.0,430.0,361.0
373,3730.0,368.0,413.0,394.0,326.0
374,3740.0,390.0,448.0,432.0,363.0
375,3750.0,366.0,411.0,394.0,382.0
376,3760.0,389.0,448.0,430.0,366.0
377,3770.0,368.0,413.0,396.0,326.0
378,3780.0,343.0,435.0,432.0,362.0
379,3790.0,400.0,432.0,400.0,129.0
380,3800.0,396.0,451.0,436.0,350.0
381,3810.0,368.0,416.0,397.0,330.0
382,3820.0,341.0,438.0,431.0,363.0
383,3830.0,417.0,433.0,403.0,165.0
384,3840.0,399.0,453.0,434.0,352.0
385,3850.0,368.0,416.0,397.0,326.0
386,3860.0,388.0,448.0,432.0,362.0
387,3870.0,368.0,413.0,394.0,326.0
388,3880.0,393.0,448.0,432.0,359.0
389,3890.0,368.0,413.0,395.0,331.0
390,3900.0,389.0,446.0,429.0,411.0
391,3910.0,368.0,415.0,395.0,334.0
392,3920.0,391.0,453.0,431.0,362.0
393,3930.0,321.0,407.0,394.0,327.0
394,3940.0,432.0,467.0,438.0,150.0
395,3950.0,372.0,423.0,399.0,316.0
396,3960.0,391.0,452.0,432.0,361.0
397,3970.0,319.0,406.0,394.0,329.0
398,3980.0,446.0,471.0,438.0,187.0
399,3990.0,375.0,426.0,400.0,319.0
400,4000.0,394.0,454.0,431.0,362.0
401,4010.0,367.0,415.0,394.0,324.0
402,4020.0,391.0,449.0,429.0,359.0
403,4030.0,368.0,415.0,392.0,326.0
404,4040.0,390.0,449.0,431.0,363.0
405,4050.0,366.0,413.0,391.0,381.0
406,4060.0,391.0,449.0,430.0,367.0
407,4070.0,368.0,416.0,393.0,326.0
408,4080.0,346.0,439.0,431.0,361.0
409,4090.0,400.0,432.0,400.0,128.0
410,4100.0,397.0,450.0,432.0,352.0
411,4110.0,367.0,414.0,394.0,327.0
412,4120.0,345.0,438.0,431.0,362.0
413,4130.0,416.0,433.0,401.0,168.0
414,4140.0,398.0,453.0,435.0,352.0
415,4150.0,368.0,413.0,394.0,330.0
416,4160.0,386.0,447.0,428.0,357.0
417,4170.0,367.0,411.0,389.0,324.0
418,4180.0,390.0,448.0,430.0,361.0
419,4190.0,368.0,412.0,390.0,325.0
420,4200.0,388.0,443.0,427.0,406.0
421,4210.0,368.0,410.0,389.0,329.0
422,4220.0,390.0,448.0,429.0,359.0
423,4230.0,323.0,400.0,391.0,326.0
424,4240.0,422.0,462.0,433.0,128.0
425,4250.0,369.0,415.0,399.0,314.0
426,4260.0,391.0,448.0,432.0,360.0
427,4270.0,320.0,401.0,395.0,326.0
428,4280.0,445.0,465.0,439.0,185.0
429,4290.0,373.0,419.0,400.0,314.0
430,4300.0,391.0,448.0,431.0,358.0
431,4310.0,364.0,409.0,389.0,322.0
432,4320.0,390.0,447.0,428.0,359.0
433,4330.0,368.0,411.0,390.0,326.0
434,4340.0,391.0,448.0,430.0,362.0
435,4350.0,365.0,408.0,387.0,378.0
436,4360.0,390.0,447.0,427.0,365.0
437,4370.0,366.0,411.0,389.0,322.0
438,4380.0,342.0,435.0,428.0,361.0
439,4390.0,400.0,427.0,400.0,128.0
440,4400.0,395.0,451.0,433.0,347.0
441,4410.0,368.0,413.0,393.0,323.0
442,4420.0,347.0,438.0,428.0,358.0
443,4430.0,416.0,432.0,401.0,163.0
444,4440.0,398.0,450.0,432.0,348.0
445,4450.0,367.0,412.0,391.0,325.0
446,4460.0,386.0,445.0,426.0,358.0
447,4470.0,367.0,412.0,387.0,322.0
448,4480.0,391.0,447.0,427.0,358.0
449,4490.0,367.0,410.0,388.0,324.0
450,4500.0,389.0,445.0,427.0,409.0
451,4510.0,368.0,410.0,389.0,332.0
452,4520.0,389.0,448.0,431.0,359.0
453,4530.0,320.0,400.0,392.0,327.0
454,4540.0,432.0,464.0,435.0,148.0
455,4550.0,370.0,417.0,397.0,311.0
456,4560.0,389.0,449.0,432.0,359.0
457,4570.0,322.0,401.0,391.0,322.0
458,4580.0,445.0,466.0,441.0,182.0
459,4590.0,372.0,418.0,400.0,313.0
460,4600.0,391.0,448.0,432.0,359.0
461,4610.0,361.0,409.0,393.0,322.0
462,4620.0,391.0,447.0,432.0,357.0
463,4630.0,368.0,413.0,395.0,325.0
464,4640.0,391.0,447.0,432.0,361.0
465,4650.0,367.0,410.0,390.0,381.0
466,4660.0,391.0,446.0,431.0,367.0
467,4670.0,368.0,411.0,395.0,327.0
468,4680.0,345.0,434.0,430.0,359.0
469,4690.0,400.0,425.0,400.0,127.0
470,4700.0,395.0,452.0,435.0,349.0
471,4710.0,368.0,415.0,396.0,325.0
472,4720.0,343.0,441.0,431.0,359.0
473,4730.0,414.0,432.0,400.0,162.0
474,4740.0,399.0,453.0,433.0,350.0
475,4750.0,368.0,414.0,393.0,325.0
476,4760.0,383.0,443.0,427.0,355.0
477,4770.0,367.0,409.0,391.0,323.0
478,4780.0,388.0,447.0,432.0,361.0
479,4790.0,366.0,412.0,391.0,325.0
480,4800.0,387.0,445.0,432.0,407.0
481,4810.0,366.0,410.0,393.0,331.0
482,4820.0,389.0,448.0,432.0,359.0
483,4830.0,320.0,400.0,394.0,326.0
484,4840.0,421.0,461.0,437.0,129.0
485,4850.0,369.0,414.0,397.0,310.0
486,4860.0,389.0,448.0,432.0,360.0
487,4870.0,320.0,401.0,389.0,323.0
488,4880.0,445.0,466.0,438.0,183.0
489,4890.0,373.0,417.0,400.0,316.0
490,4900.0,391.0,448.0,432.0,361.0
491,4910.0,356.0,406.0,389.0,321.0
492,4920.0,388.0,448.0,431.0,364.0
493,4930.0,366.0,411.0,393.0,323.0
494,4940.0,389.0,448.0,432.0,359.0
495,4950.0,367.0,407.0,390.0,377.0
496,4960.0,390.0,448.0,430.0,365.0
497,4970.0,368.0,409.0,394.0,323.0
498,4980.0,343.0,436.0,432.0,359.0
499,4990.0,388.0,422.0,400.0,101.0
500,5000.0,393.0,451.0,435.0,349.0
501,5010.0,367.0,413.0,393.0,325.0
502,5020.0,345.0,439.0,431.0,363.0
503,5030.0,415.0,432.0,400.0,166.0
504,5040.0,399.0,452.0,433.0,350.0
505,5050.0,368.0,413.0,394.0,323.0
506,5060.0,377.0,442.0,427.0,356.0
